revision	construction	world_knowledge_filter	accuracy
step1	letalone	all	0.4935138183869148
step1	letalone	aligned	0.4952058657642414
step1	letalone	misaligned	0.4918217710095883
step1	letalone	aligned1	0.7174280879864636
step1	letalone	misaligned1	0.2893401015228426
step1	letalone	aligned2	0.27298364354201915
step1	letalone	misaligned2	0.6943034404963339
step1	letalone	verb_hold_all	0.45
step1	letalone	verb_hold_aligned	0.4722222222222222
step1	letalone	verb_hold_misaligned	0.42777777777777776
step1	letalone	verb_bake_all	0.5166666666666667
step1	letalone	verb_bake_aligned	0.5944444444444444
step1	letalone	verb_bake_misaligned	0.4388888888888889
step1	letalone	verb_cook_all	0.4965277777777778
step1	letalone	verb_cook_aligned	0.5069444444444444
step1	letalone	verb_cook_misaligned	0.4861111111111111
step1	letalone	verb_paint_all	0.4930555555555556
step1	letalone	verb_paint_aligned	0.5050505050505051
step1	letalone	verb_paint_misaligned	0.4810606060606061
step1	letalone	verb_draw_all	0.4861111111111111
step1	letalone	verb_draw_aligned	0.4898989898989899
step1	letalone	verb_draw_misaligned	0.4823232323232323
step1	letalone	verb_sing_all	0.5037878787878788
step1	letalone	verb_sing_aligned	0.45202020202020204
step1	letalone	verb_sing_misaligned	0.5555555555555556
step1	letalone	verb_write_all	0.4947916666666667
step1	letalone	verb_write_aligned	0.4409722222222222
step1	letalone	verb_write_misaligned	0.5486111111111112
step1	letalone	verb_make_all	0.47638888888888886
step1	letalone	verb_make_aligned	0.49166666666666664
step1	letalone	verb_make_misaligned	0.46111111111111114
step1	letalone	verb_pick up_all	0.5416666666666666
step1	letalone	verb_pick up_aligned	0.5611111111111111
step1	letalone	verb_pick up_misaligned	0.5222222222222223
step1	letalone	verb_lift_all	0.4888888888888889
step1	letalone	verb_lift_aligned	0.5111111111111111
step1	letalone	verb_lift_misaligned	0.4666666666666667
step1	letalone	verb_see_all	0.5833333333333334
step1	letalone	verb_see_aligned	0.6111111111111112
step1	letalone	verb_see_misaligned	0.5555555555555556
step1	letalone	verb_compose_all	0.4878472222222222
step1	letalone	verb_compose_aligned	0.4756944444444444
step1	letalone	verb_compose_misaligned	0.5
step1	muchless	all	0.4970389170896785
step1	muchless	aligned	0.5028200789622109
step1	muchless	misaligned	0.4912577552171461
step1	muchless	aligned1	0.2712915961646926
step1	muchless	misaligned1	0.7704455724760293
step1	muchless	aligned2	0.7343485617597293
step1	muchless	misaligned2	0.21206993795826284
step1	muchless	verb_hold_all	0.4861111111111111
step1	muchless	verb_hold_aligned	0.5722222222222222
step1	muchless	verb_hold_misaligned	0.4
step1	muchless	verb_bake_all	0.4777777777777778
step1	muchless	verb_bake_aligned	0.4722222222222222
step1	muchless	verb_bake_misaligned	0.48333333333333334
step1	muchless	verb_cook_all	0.5173611111111112
step1	muchless	verb_cook_aligned	0.5208333333333334
step1	muchless	verb_cook_misaligned	0.5138888888888888
step1	muchless	verb_paint_all	0.4943181818181818
step1	muchless	verb_paint_aligned	0.48863636363636365
step1	muchless	verb_paint_misaligned	0.5
step1	muchless	verb_draw_all	0.4962121212121212
step1	muchless	verb_draw_aligned	0.49747474747474746
step1	muchless	verb_draw_misaligned	0.494949494949495
step1	muchless	verb_sing_all	0.49873737373737376
step1	muchless	verb_sing_aligned	0.46464646464646464
step1	muchless	verb_sing_misaligned	0.5328282828282829
step1	muchless	verb_write_all	0.4895833333333333
step1	muchless	verb_write_aligned	0.4618055555555556
step1	muchless	verb_write_misaligned	0.5173611111111112
step1	muchless	verb_make_all	0.4861111111111111
step1	muchless	verb_make_aligned	0.5638888888888889
step1	muchless	verb_make_misaligned	0.4083333333333333
step1	muchless	verb_pick up_all	0.5027777777777778
step1	muchless	verb_pick up_aligned	0.5333333333333333
step1	muchless	verb_pick up_misaligned	0.4722222222222222
step1	muchless	verb_lift_all	0.5055555555555555
step1	muchless	verb_lift_aligned	0.5444444444444444
step1	muchless	verb_lift_misaligned	0.4666666666666667
step1	muchless	verb_see_all	0.5277777777777778
step1	muchless	verb_see_aligned	0.5555555555555556
step1	muchless	verb_see_misaligned	0.5
step1	muchless	verb_compose_all	0.5121527777777778
step1	muchless	verb_compose_aligned	0.4756944444444444
step1	muchless	verb_compose_misaligned	0.5486111111111112
step1	nottomention	all	0.5057811618725324
step1	nottomention	aligned	0.5250987027636774
step1	nottomention	misaligned	0.48646362098138746
step1	nottomention	aligned1	0.6491821771009588
step1	nottomention	misaligned1	0.37225042301184436
step1	nottomention	aligned2	0.4010152284263959
step1	nottomention	misaligned2	0.6006768189509306
step1	nottomention	verb_hold_all	0.48055555555555557
step1	nottomention	verb_hold_aligned	0.5777777777777777
step1	nottomention	verb_hold_misaligned	0.38333333333333336
step1	nottomention	verb_bake_all	0.55
step1	nottomention	verb_bake_aligned	0.6666666666666666
step1	nottomention	verb_bake_misaligned	0.43333333333333335
step1	nottomention	verb_cook_all	0.5173611111111112
step1	nottomention	verb_cook_aligned	0.5451388888888888
step1	nottomention	verb_cook_misaligned	0.4895833333333333
step1	nottomention	verb_paint_all	0.5119949494949495
step1	nottomention	verb_paint_aligned	0.5303030303030303
step1	nottomention	verb_paint_misaligned	0.4936868686868687
step1	nottomention	verb_draw_all	0.5063131313131313
step1	nottomention	verb_draw_aligned	0.5202020202020202
step1	nottomention	verb_draw_misaligned	0.49242424242424243
step1	nottomention	verb_sing_all	0.5
step1	nottomention	verb_sing_aligned	0.5227272727272727
step1	nottomention	verb_sing_misaligned	0.4772727272727273
step1	nottomention	verb_write_all	0.4947916666666667
step1	nottomention	verb_write_aligned	0.46875
step1	nottomention	verb_write_misaligned	0.5208333333333334
step1	nottomention	verb_make_all	0.4847222222222222
step1	nottomention	verb_make_aligned	0.4777777777777778
step1	nottomention	verb_make_misaligned	0.49166666666666664
step1	nottomention	verb_pick up_all	0.49166666666666664
step1	nottomention	verb_pick up_aligned	0.5555555555555556
step1	nottomention	verb_pick up_misaligned	0.42777777777777776
step1	nottomention	verb_lift_all	0.5222222222222223
step1	nottomention	verb_lift_aligned	0.5388888888888889
step1	nottomention	verb_lift_misaligned	0.5055555555555555
step1	nottomention	verb_see_all	0.4444444444444444
step1	nottomention	verb_see_aligned	0.3888888888888889
step1	nottomention	verb_see_misaligned	0.5
step1	nottomention	verb_compose_all	0.5121527777777778
step1	nottomention	verb_compose_aligned	0.4756944444444444
step1	nottomention	verb_compose_misaligned	0.5486111111111112
step1	nevermind	all	0.4987309644670051
step1	nevermind	aligned	0.5019740552735477
step1	nevermind	misaligned	0.4954878736604625
step1	nevermind	aligned1	0.3970671178793006
step1	nevermind	misaligned1	0.6254935138183869
step1	nevermind	aligned2	0.6068809926677947
step1	nevermind	misaligned2	0.36548223350253806
step1	nevermind	verb_hold_all	0.49722222222222223
step1	nevermind	verb_hold_aligned	0.5333333333333333
step1	nevermind	verb_hold_misaligned	0.46111111111111114
step1	nevermind	verb_bake_all	0.49166666666666664
step1	nevermind	verb_bake_aligned	0.5333333333333333
step1	nevermind	verb_bake_misaligned	0.45
step1	nevermind	verb_cook_all	0.4982638888888889
step1	nevermind	verb_cook_aligned	0.5
step1	nevermind	verb_cook_misaligned	0.4965277777777778
step1	nevermind	verb_paint_all	0.5018939393939394
step1	nevermind	verb_paint_aligned	0.48484848484848486
step1	nevermind	verb_paint_misaligned	0.5189393939393939
step1	nevermind	verb_draw_all	0.48737373737373735
step1	nevermind	verb_draw_aligned	0.5303030303030303
step1	nevermind	verb_draw_misaligned	0.4444444444444444
step1	nevermind	verb_sing_all	0.5075757575757576
step1	nevermind	verb_sing_aligned	0.4696969696969697
step1	nevermind	verb_sing_misaligned	0.5454545454545454
step1	nevermind	verb_write_all	0.5034722222222222
step1	nevermind	verb_write_aligned	0.4548611111111111
step1	nevermind	verb_write_misaligned	0.5520833333333334
step1	nevermind	verb_make_all	0.49444444444444446
step1	nevermind	verb_make_aligned	0.5277777777777778
step1	nevermind	verb_make_misaligned	0.46111111111111114
step1	nevermind	verb_pick up_all	0.5333333333333333
step1	nevermind	verb_pick up_aligned	0.5555555555555556
step1	nevermind	verb_pick up_misaligned	0.5111111111111111
step1	nevermind	verb_lift_all	0.475
step1	nevermind	verb_lift_aligned	0.5277777777777778
step1	nevermind	verb_lift_misaligned	0.4222222222222222
step1	nevermind	verb_see_all	0.4722222222222222
step1	nevermind	verb_see_aligned	0.4444444444444444
step1	nevermind	verb_see_misaligned	0.5
step1	nevermind	verb_compose_all	0.4947916666666667
step1	nevermind	verb_compose_aligned	0.4861111111111111
step1	nevermind	verb_compose_misaligned	0.5034722222222222
step1	blimp	all	0.5507611940298508
step1	comps	all	0.5018038102959059
step1	ewok	all	0.12208504801097393
step1	ewok	domain_social-relations	0.0980891719745223
step1	ewok	domain_agent-properties	0.11428571428571428
step1	ewok	domain_material-properties	0.07258064516129033
step1	ewok	domain_spatial-relations	0.10612244897959183
step1	ewok	domain_material-dynamics	0.15256410256410258
step1	ewok	domain_quantitative-properties	0.10526315789473684
step1	ewok	domain_social-interactions	0.1657142857142857
step1	ewok	domain_physical-interactions	0.15
step1	ewok	domain_physical-dynamics	0.08
step1	ewok	domain_physical-relations	0.12530120481927712
step1	ewok	domain_social-properties	0.14054054054054055
step2	letalone	all	0.4942188381274676
step2	letalone	aligned	0.4957698815566836
step2	letalone	misaligned	0.49266779469825156
step2	letalone	aligned1	0.7163000564015792
step2	letalone	misaligned1	0.2915961646926114
step2	letalone	aligned2	0.27523970671178793
step2	letalone	misaligned2	0.6937394247038917
step2	letalone	verb_hold_all	0.4527777777777778
step2	letalone	verb_hold_aligned	0.4777777777777778
step2	letalone	verb_hold_misaligned	0.42777777777777776
step2	letalone	verb_bake_all	0.525
step2	letalone	verb_bake_aligned	0.6111111111111112
step2	letalone	verb_bake_misaligned	0.4388888888888889
step2	letalone	verb_cook_all	0.4965277777777778
step2	letalone	verb_cook_aligned	0.5069444444444444
step2	letalone	verb_cook_misaligned	0.4861111111111111
step2	letalone	verb_paint_all	0.4930555555555556
step2	letalone	verb_paint_aligned	0.5025252525252525
step2	letalone	verb_paint_misaligned	0.48358585858585856
step2	letalone	verb_draw_all	0.4861111111111111
step2	letalone	verb_draw_aligned	0.4898989898989899
step2	letalone	verb_draw_misaligned	0.4823232323232323
step2	letalone	verb_sing_all	0.5037878787878788
step2	letalone	verb_sing_aligned	0.45202020202020204
step2	letalone	verb_sing_misaligned	0.5555555555555556
step2	letalone	verb_write_all	0.4947916666666667
step2	letalone	verb_write_aligned	0.4409722222222222
step2	letalone	verb_write_misaligned	0.5486111111111112
step2	letalone	verb_make_all	0.4777777777777778
step2	letalone	verb_make_aligned	0.49166666666666664
step2	letalone	verb_make_misaligned	0.4638888888888889
step2	letalone	verb_pick up_all	0.5416666666666666
step2	letalone	verb_pick up_aligned	0.5611111111111111
step2	letalone	verb_pick up_misaligned	0.5222222222222223
step2	letalone	verb_lift_all	0.4888888888888889
step2	letalone	verb_lift_aligned	0.5111111111111111
step2	letalone	verb_lift_misaligned	0.4666666666666667
step2	letalone	verb_see_all	0.5833333333333334
step2	letalone	verb_see_aligned	0.6111111111111112
step2	letalone	verb_see_misaligned	0.5555555555555556
step2	letalone	verb_compose_all	0.4878472222222222
step2	letalone	verb_compose_aligned	0.4756944444444444
step2	letalone	verb_compose_misaligned	0.5
step2	muchless	all	0.4966159052453469
step2	muchless	aligned	0.503102086858432
step2	muchless	misaligned	0.4901297236322617
step2	muchless	aligned1	0.2712915961646926
step2	muchless	misaligned1	0.7693175408911449
step2	muchless	aligned2	0.7349125775521714
step2	muchless	misaligned2	0.21094190637337845
step2	muchless	verb_hold_all	0.4888888888888889
step2	muchless	verb_hold_aligned	0.5777777777777777
step2	muchless	verb_hold_misaligned	0.4
step2	muchless	verb_bake_all	0.4777777777777778
step2	muchless	verb_bake_aligned	0.4722222222222222
step2	muchless	verb_bake_misaligned	0.48333333333333334
step2	muchless	verb_cook_all	0.515625
step2	muchless	verb_cook_aligned	0.5208333333333334
step2	muchless	verb_cook_misaligned	0.5104166666666666
step2	muchless	verb_paint_all	0.494949494949495
step2	muchless	verb_paint_aligned	0.4898989898989899
step2	muchless	verb_paint_misaligned	0.5
step2	muchless	verb_draw_all	0.4962121212121212
step2	muchless	verb_draw_aligned	0.49747474747474746
step2	muchless	verb_draw_misaligned	0.494949494949495
step2	muchless	verb_sing_all	0.49873737373737376
step2	muchless	verb_sing_aligned	0.46464646464646464
step2	muchless	verb_sing_misaligned	0.5328282828282829
step2	muchless	verb_write_all	0.4861111111111111
step2	muchless	verb_write_aligned	0.4583333333333333
step2	muchless	verb_write_misaligned	0.5138888888888888
step2	muchless	verb_make_all	0.4847222222222222
step2	muchless	verb_make_aligned	0.5638888888888889
step2	muchless	verb_make_misaligned	0.40555555555555556
step2	muchless	verb_pick up_all	0.5027777777777778
step2	muchless	verb_pick up_aligned	0.5333333333333333
step2	muchless	verb_pick up_misaligned	0.4722222222222222
step2	muchless	verb_lift_all	0.5055555555555555
step2	muchless	verb_lift_aligned	0.5444444444444444
step2	muchless	verb_lift_misaligned	0.4666666666666667
step2	muchless	verb_see_all	0.5277777777777778
step2	muchless	verb_see_aligned	0.5555555555555556
step2	muchless	verb_see_misaligned	0.5
step2	muchless	verb_compose_all	0.5104166666666666
step2	muchless	verb_compose_aligned	0.4756944444444444
step2	muchless	verb_compose_misaligned	0.5451388888888888
step2	nottomention	all	0.5057811618725324
step2	nottomention	aligned	0.5248166948674563
step2	nottomention	misaligned	0.4867456288776086
step2	nottomention	aligned1	0.6486181613085167
step2	nottomention	misaligned1	0.37225042301184436
step2	nottomention	aligned2	0.4010152284263959
step2	nottomention	misaligned2	0.6012408347433729
step2	nottomention	verb_hold_all	0.48055555555555557
step2	nottomention	verb_hold_aligned	0.5777777777777777
step2	nottomention	verb_hold_misaligned	0.38333333333333336
step2	nottomention	verb_bake_all	0.55
step2	nottomention	verb_bake_aligned	0.6666666666666666
step2	nottomention	verb_bake_misaligned	0.43333333333333335
step2	nottomention	verb_cook_all	0.5173611111111112
step2	nottomention	verb_cook_aligned	0.5451388888888888
step2	nottomention	verb_cook_misaligned	0.4895833333333333
step2	nottomention	verb_paint_all	0.5113636363636364
step2	nottomention	verb_paint_aligned	0.5303030303030303
step2	nottomention	verb_paint_misaligned	0.49242424242424243
step2	nottomention	verb_draw_all	0.5063131313131313
step2	nottomention	verb_draw_aligned	0.5202020202020202
step2	nottomention	verb_draw_misaligned	0.49242424242424243
step2	nottomention	verb_sing_all	0.5
step2	nottomention	verb_sing_aligned	0.5227272727272727
step2	nottomention	verb_sing_misaligned	0.4772727272727273
step2	nottomention	verb_write_all	0.4947916666666667
step2	nottomention	verb_write_aligned	0.46875
step2	nottomention	verb_write_misaligned	0.5208333333333334
step2	nottomention	verb_make_all	0.4861111111111111
step2	nottomention	verb_make_aligned	0.475
step2	nottomention	verb_make_misaligned	0.49722222222222223
step2	nottomention	verb_pick up_all	0.49166666666666664
step2	nottomention	verb_pick up_aligned	0.5555555555555556
step2	nottomention	verb_pick up_misaligned	0.42777777777777776
step2	nottomention	verb_lift_all	0.5222222222222223
step2	nottomention	verb_lift_aligned	0.5388888888888889
step2	nottomention	verb_lift_misaligned	0.5055555555555555
step2	nottomention	verb_see_all	0.4444444444444444
step2	nottomention	verb_see_aligned	0.3888888888888889
step2	nottomention	verb_see_misaligned	0.5
step2	nottomention	verb_compose_all	0.5121527777777778
step2	nottomention	verb_compose_aligned	0.4756944444444444
step2	nottomention	verb_compose_misaligned	0.5486111111111112
step2	nevermind	all	0.4981669486745629
step2	nevermind	aligned	0.5014100394811055
step2	nevermind	misaligned	0.4949238578680203
step2	nevermind	aligned1	0.3970671178793006
step2	nevermind	misaligned1	0.6238014664410604
step2	nevermind	aligned2	0.6057529610829103
step2	nevermind	misaligned2	0.36604624929498025
step2	nevermind	verb_hold_all	0.49722222222222223
step2	nevermind	verb_hold_aligned	0.5333333333333333
step2	nevermind	verb_hold_misaligned	0.46111111111111114
step2	nevermind	verb_bake_all	0.49166666666666664
step2	nevermind	verb_bake_aligned	0.5333333333333333
step2	nevermind	verb_bake_misaligned	0.45
step2	nevermind	verb_cook_all	0.4965277777777778
step2	nevermind	verb_cook_aligned	0.5
step2	nevermind	verb_cook_misaligned	0.4930555555555556
step2	nevermind	verb_paint_all	0.5018939393939394
step2	nevermind	verb_paint_aligned	0.48484848484848486
step2	nevermind	verb_paint_misaligned	0.5189393939393939
step2	nevermind	verb_draw_all	0.48737373737373735
step2	nevermind	verb_draw_aligned	0.5303030303030303
step2	nevermind	verb_draw_misaligned	0.4444444444444444
step2	nevermind	verb_sing_all	0.5075757575757576
step2	nevermind	verb_sing_aligned	0.4671717171717172
step2	nevermind	verb_sing_misaligned	0.547979797979798
step2	nevermind	verb_write_all	0.5
step2	nevermind	verb_write_aligned	0.4513888888888889
step2	nevermind	verb_write_misaligned	0.5486111111111112
step2	nevermind	verb_make_all	0.49444444444444446
step2	nevermind	verb_make_aligned	0.5277777777777778
step2	nevermind	verb_make_misaligned	0.46111111111111114
step2	nevermind	verb_pick up_all	0.5333333333333333
step2	nevermind	verb_pick up_aligned	0.5555555555555556
step2	nevermind	verb_pick up_misaligned	0.5111111111111111
step2	nevermind	verb_lift_all	0.46944444444444444
step2	nevermind	verb_lift_aligned	0.5277777777777778
step2	nevermind	verb_lift_misaligned	0.4111111111111111
step2	nevermind	verb_see_all	0.4722222222222222
step2	nevermind	verb_see_aligned	0.4444444444444444
step2	nevermind	verb_see_misaligned	0.5
step2	nevermind	verb_compose_all	0.4965277777777778
step2	nevermind	verb_compose_aligned	0.4861111111111111
step2	nevermind	verb_compose_misaligned	0.5069444444444444
step2	blimp	all	0.5508955223880597
step2	comps	all	0.5018240778273206
step2	ewok	all	0.12231367169638775
step2	ewok	domain_social-relations	0.0980891719745223
step2	ewok	domain_agent-properties	0.11428571428571428
step2	ewok	domain_material-properties	0.07258064516129033
step2	ewok	domain_spatial-relations	0.10612244897959183
step2	ewok	domain_material-dynamics	0.15256410256410258
step2	ewok	domain_quantitative-properties	0.11052631578947368
step2	ewok	domain_social-interactions	0.1657142857142857
step2	ewok	domain_physical-interactions	0.15
step2	ewok	domain_physical-dynamics	0.08
step2	ewok	domain_physical-relations	0.12530120481927712
step2	ewok	domain_social-properties	0.14054054054054055
step4	letalone	all	0.4957698815566836
step4	letalone	aligned	0.4983079526226734
step4	letalone	misaligned	0.49323181049069376
step4	letalone	aligned1	0.709531866892273
step4	letalone	misaligned1	0.30005640157924424
step4	letalone	aligned2	0.2870840383530739
step4	letalone	misaligned2	0.6864072194021432
step4	letalone	verb_hold_all	0.44722222222222224
step4	letalone	verb_hold_aligned	0.4777777777777778
step4	letalone	verb_hold_misaligned	0.4166666666666667
step4	letalone	verb_bake_all	0.5305555555555556
step4	letalone	verb_bake_aligned	0.6222222222222222
step4	letalone	verb_bake_misaligned	0.4388888888888889
step4	letalone	verb_cook_all	0.4930555555555556
step4	letalone	verb_cook_aligned	0.5069444444444444
step4	letalone	verb_cook_misaligned	0.4791666666666667
step4	letalone	verb_paint_all	0.4917929292929293
step4	letalone	verb_paint_aligned	0.5050505050505051
step4	letalone	verb_paint_misaligned	0.47853535353535354
step4	letalone	verb_draw_all	0.49242424242424243
step4	letalone	verb_draw_aligned	0.49242424242424243
step4	letalone	verb_draw_misaligned	0.49242424242424243
step4	letalone	verb_sing_all	0.5063131313131313
step4	letalone	verb_sing_aligned	0.44696969696969696
step4	letalone	verb_sing_misaligned	0.5656565656565656
step4	letalone	verb_write_all	0.4982638888888889
step4	letalone	verb_write_aligned	0.4513888888888889
step4	letalone	verb_write_misaligned	0.5451388888888888
step4	letalone	verb_make_all	0.4875
step4	letalone	verb_make_aligned	0.49444444444444446
step4	letalone	verb_make_misaligned	0.48055555555555557
step4	letalone	verb_pick up_all	0.5361111111111111
step4	letalone	verb_pick up_aligned	0.5611111111111111
step4	letalone	verb_pick up_misaligned	0.5111111111111111
step4	letalone	verb_lift_all	0.49166666666666664
step4	letalone	verb_lift_aligned	0.5222222222222223
step4	letalone	verb_lift_misaligned	0.46111111111111114
