revision	construction	world_knowledge_filter	accuracy	delta_accuracy	delta_accuracy_zscale
step1	letalone	all	0.4935138183869148	0.0	0.0
step1	letalone	aligned	0.4952058657642414	0.0	0.0
step1	letalone	misaligned	0.4918217710095883	0.0	0.0
step1	letalone	aligned1	0.7174280879864636	0.0	0.0
step1	letalone	misaligned1	0.2893401015228426	0.0	0.0
step1	letalone	aligned2	0.2729836435420191	0.0	0.0
step1	letalone	misaligned2	0.6943034404963339	0.0	0.0
step1	letalone	verb_hold_all	0.45	0.0	0.0
step1	letalone	verb_hold_aligned	0.4722222222222222	0.0	0.0
step1	letalone	verb_hold_misaligned	0.4277777777777777	0.0	0.0
step1	letalone	verb_bake_all	0.5166666666666667	0.0	0.0
step1	letalone	verb_bake_aligned	0.5944444444444444	0.0	0.0
step1	letalone	verb_bake_misaligned	0.4388888888888889	0.0	0.0
step1	letalone	verb_cook_all	0.4965277777777778	0.0	0.0
step1	letalone	verb_cook_aligned	0.5069444444444444	0.0	0.0
step1	letalone	verb_cook_misaligned	0.4861111111111111	0.0	0.0
step1	letalone	verb_paint_all	0.4930555555555556	0.0	0.0
step1	letalone	verb_paint_aligned	0.5050505050505051	0.0	0.0
step1	letalone	verb_paint_misaligned	0.4810606060606061	0.0	0.0
step1	letalone	verb_draw_all	0.4861111111111111	0.0	0.0
step1	letalone	verb_draw_aligned	0.4898989898989899	0.0	0.0
step1	letalone	verb_draw_misaligned	0.4823232323232323	0.0	0.0
step1	letalone	verb_sing_all	0.5037878787878788	0.0	0.0
step1	letalone	verb_sing_aligned	0.452020202020202	0.0	0.0
step1	letalone	verb_sing_misaligned	0.5555555555555556	0.0	0.0
step1	letalone	verb_write_all	0.4947916666666667	0.0	0.0
step1	letalone	verb_write_aligned	0.4409722222222222	0.0	0.0
step1	letalone	verb_write_misaligned	0.5486111111111112	0.0	0.0
step1	letalone	verb_make_all	0.4763888888888888	0.0	0.0
step1	letalone	verb_make_aligned	0.4916666666666666	0.0	0.0
step1	letalone	verb_make_misaligned	0.4611111111111111	0.0	0.0
step1	letalone	verb_pick up_all	0.5416666666666666	0.0	0.0
step1	letalone	verb_pick up_aligned	0.5611111111111111	0.0	0.0
step1	letalone	verb_pick up_misaligned	0.5222222222222223	0.0	0.0
step1	letalone	verb_lift_all	0.4888888888888889	0.0	0.0
step1	letalone	verb_lift_aligned	0.5111111111111111	0.0	0.0
step1	letalone	verb_lift_misaligned	0.4666666666666667	0.0	0.0
step1	letalone	verb_see_all	0.5833333333333334	0.0	0.0
step1	letalone	verb_see_aligned	0.6111111111111112	0.0	0.0
step1	letalone	verb_see_misaligned	0.5555555555555556	0.0	0.0
step1	letalone	verb_compose_all	0.4878472222222222	0.0	0.0
step1	letalone	verb_compose_aligned	0.4756944444444444	0.0	0.0
step1	letalone	verb_compose_misaligned	0.5	0.0	0.0
step1	muchless	all	0.4970389170896785	0.0	0.0
step1	muchless	aligned	0.5028200789622109	0.0	0.0
step1	muchless	misaligned	0.4912577552171461	0.0	0.0
step1	muchless	aligned1	0.2712915961646926	0.0	0.0
step1	muchless	misaligned1	0.7704455724760293	0.0	0.0
step1	muchless	aligned2	0.7343485617597293	0.0	0.0
step1	muchless	misaligned2	0.2120699379582628	0.0	0.0
step1	muchless	verb_hold_all	0.4861111111111111	0.0	0.0
step1	muchless	verb_hold_aligned	0.5722222222222222	0.0	0.0
step1	muchless	verb_hold_misaligned	0.4	0.0	0.0
step1	muchless	verb_bake_all	0.4777777777777778	0.0	0.0
step1	muchless	verb_bake_aligned	0.4722222222222222	0.0	0.0
step1	muchless	verb_bake_misaligned	0.4833333333333333	0.0	0.0
step1	muchless	verb_cook_all	0.5173611111111112	0.0	0.0
step1	muchless	verb_cook_aligned	0.5208333333333334	0.0	0.0
step1	muchless	verb_cook_misaligned	0.5138888888888888	0.0	0.0
step1	muchless	verb_paint_all	0.4943181818181818	0.0	0.0
step1	muchless	verb_paint_aligned	0.4886363636363636	0.0	0.0
step1	muchless	verb_paint_misaligned	0.5	0.0	0.0
step1	muchless	verb_draw_all	0.4962121212121212	0.0	0.0
step1	muchless	verb_draw_aligned	0.4974747474747474	0.0	0.0
step1	muchless	verb_draw_misaligned	0.494949494949495	0.0	0.0
step1	muchless	verb_sing_all	0.4987373737373737	0.0	0.0
