revision	construction	test_type	accuracy	delta_surps	delta_surps_and
step1	let alone	NPI	0.640721940214326	-0.19499999442748672	-0.22530397424843104
step1	let alone	Pseudocleft	0.2222222222222222	0.04962553926867014	0.1739734255924644
step1	let alone	CP Conjunction	0.2137619853355894	0.09105521975031564	0.1652983376620788
step1	let alone	VP Conjunction	0.6040609137055838	-0.014121121763174465	-0.030043989268656323
step1	let alone	VP Gap Conjunction	0.5386350817822899	0.04575013442020669	0.04181589867795717
step1	let alone	Avg_Test	0.3589020492573792	-0.01810641180283367	0.037989263002037386
step1	let alone	Avg_Control	0.5713479977439369	0.01581450632851611	0.005885954704650425
step1	much less	NPI	0.6615905245346869	-0.1806080313100024	-0.22530397424843104
step1	much less	Pseudocleft	0.15905245346869712	0.046808446119279506	0.1739734255924644
step1	much less	CP Conjunction	0.5470953186689227	0.17519215413290976	0.1652983376620788
step1	much less	VP Conjunction	0.7783417935702199	0.05211163750490909	-0.030043989268656323
step1	much less	VP Gap Conjunction	0.9216018048505358	0.16089113163396732	0.04181589867795717
step1	much less	Avg_Test	0.4559127655574356	0.013797522980728963	0.037989263002037386
step1	much less	Avg_Control	0.8499717992103779	0.1065013845694382	0.005885954704650425
step1	not to mention	NPI	0.730400451212634	-0.17316582857789256	-0.22530397424843104
step1	not to mention	Pseudocleft	0.5273547659334461	0.20090662175763208	0.1739734255924644
step1	not to mention	CP Conjunction	0.16694867456288776	0.07353027029623779	0.1652983376620788
step1	not to mention	VP Conjunction	0.43316412859560066	-0.0428526249566592	-0.030043989268656323
step1	not to mention	VP Gap Conjunction	0.3970671178793006	0.019276332263548506	0.04181589867795717
step1	not to mention	Avg_Test	0.4749012972363227	0.03375702115865911	0.037989263002037386
step1	not to mention	Avg_Control	0.41511562323745066	-0.01178814634655535	0.005885954704650425
step1	never mind	NPI	0.6756909193457417	-0.19392089445713337	-0.22530397424843104
step1	never mind	Pseudocleft	0.22786238014664412	0.03460170748001164	0.1739734255924644
step1	never mind	CP Conjunction	0.1900733220530175	0.07599040309520881	0.1652983376620788
step1	never mind	VP Conjunction	0.4709531866892273	-0.04212620375321798	-0.030043989268656323
step1	never mind	VP Gap Conjunction	0.6728708403835307	0.07354297734759188	0.04181589867795717
step1	never mind	Avg_Test	0.36454220718180114	-0.027776261293970973	0.037989263002037386
step1	never mind	Avg_Control	0.571912013536379	0.015708386797186953	0.005885954704650425
step2	let alone	NPI	0.640721940214326	-0.19612265789636568	-0.2268918753342648
step2	let alone	Pseudocleft	0.22053017484489565	0.04679567290777821	0.1713653904397946
step2	let alone	CP Conjunction	0.21206993795826284	0.09406187570639672	0.16941357519555347
step2	let alone	VP Conjunction	0.6023688663282571	-0.013210813540626977	-0.028768516299553824
step2	let alone	VP Gap Conjunction	0.5375070501974055	0.046801311043246106	0.04323835152390973
step2	let alone	Avg_Test	0.35777401767249484	-0.018421703094063588	0.037962363433694434
step2	let alone	Avg_Control	0.5699379582628313	0.016795248751309565	0.00723491761217795
step2	much less	NPI	0.6638465877044557	-0.18166913464455295	-0.2268918753342648
step2	much less	Pseudocleft	0.15848843767625492	0.044056662179222966	0.1713653904397946
step2	much less	CP Conjunction	0.5454032712915962	0.1781537760063813	0.16941357519555347
step2	much less	VP Conjunction	0.7772137619853355	0.05301933213269995	-0.028768516299553824
step2	much less	VP Gap Conjunction	0.9210377890580936	0.16198165525639727	0.04323835152390973
step2	much less	Avg_Test	0.4559127655574356	0.013513767847017103	0.037962363433694434
step2	much less	Avg_Control	0.8491257755217145	0.10750049369454859	0.00723491761217795
step2	not to mention	NPI	0.7326565143824028	-0.17429552761364037	-0.2268918753342648
step2	not to mention	Pseudocleft	0.5284827975183305	0.1983426530281837	0.1713653904397946
step2	not to mention	CP Conjunction	0.16300056401579244	0.07661364136344623	0.16941357519555347
step2	not to mention	VP Conjunction	0.43034404963338974	-0.04188212229582931	-0.028768516299553824
step2	not to mention	VP Gap Conjunction	0.3970671178793006	0.020371035270884554	0.04323835152390973
step2	not to mention	Avg_Test	0.47471329197217527	0.03355358892599652	0.037962363433694434
step2	not to mention	Avg_Control	0.41370558375634514	-0.010755543512472378	0.00723491761217795
step2	never mind	NPI	0.676818950930626	-0.19502625570281107	-0.2268918753342648
step2	never mind	Pseudocleft	0.22842639593908629	0.03198087975189504	0.1713653904397946
step2	never mind	CP Conjunction	0.18725324309080654	0.07895611775371894	0.16941357519555347
step2	never mind	VP Conjunction	0.4686971235194585	-0.041156254578497385	-0.028768516299553824
step2	never mind	VP Gap Conjunction	0.6711787930062042	0.0746290434973427	0.04323835152390973
step2	never mind	Avg_Test	0.3641661966535063	-0.02802975273239904	0.037962363433694434
step2	never mind	Avg_Control	0.5699379582628313	0.016736394459422654	0.00723491761217795
step4	let alone	NPI	0.6711787930062042	-0.21876696066471787	-0.2589991295734369
step4	let alone	Pseudocleft	0.21094190637337845	-0.008425131129196448	0.11986459236123503
step4	let alone	CP Conjunction	0.15397631133671744	0.15299997421152775	0.25019760314717643
step4	let alone	VP Conjunction	0.5707839819514946	0.004634141787525299	-0.0035215298200285813
step4	let alone	VP Gap Conjunction	0.5008460236886633	0.06716232493444153	0.07084525162664024
step4	let alone	Avg_Test	0.3453656702387667	-0.02473070586079552	0.037021021978324846
step4	let alone	Avg_Control	0.535815002820079	0.03589823336098342	0.03366186090330582
step4	much less	NPI	0.6999435984207558	-0.20331261673016657	-0.2589991295734369
step4	much less	Pseudocleft	0.155668358714044	-0.009623445767974354	0.11986459236123503
step4	much less	CP Conjunction	0.43147208121827413	0.23594526537245974	0.25019760314717643
step4	much less	VP Conjunction	0.757473209249859	0.07069736809899972	-0.0035215298200285813
step4	much less	VP Gap Conjunction	0.9091934574168077	0.18289258583615348	0.07084525162664024
step4	much less	Avg_Test	0.429028012784358	0.007669734291439597	0.037021021978324846
step4	much less	Avg_Control	0.8333333333333333	0.12679497696757658	0.03366186090330582
step4	not to mention	NPI	0.7631133671742809	-0.19710603220208647	-0.2589991295734369
step4	not to mention	Pseudocleft	0.5329949238578681	0.14785788493578672	0.11986459236123503
step4	not to mention	CP Conjunction	0.12013536379018612	0.13724685051450605	0.25019760314717643
step4	not to mention	VP Conjunction	0.4032712915961647	-0.02252371594923337	-0.0035215298200285813
step4	not to mention	VP Gap Conjunction	0.3733784545967287	0.04174125927421108	0.07084525162664024
step4	not to mention	Avg_Test	0.47208121827411165	0.029332901082735417	0.037021021978324846
step4	not to mention	Avg_Control	0.3883248730964467	0.009608771662488854	0.03366186090330582
step4	never mind	NPI	0.7163000564015792	-0.2174895416190916	-0.2589991295734369
step4	never mind	Pseudocleft	0.22899041173152848	-0.019086874882783572	0.11986459236123503
step4	never mind	CP Conjunction	0.13310772701635645	0.13700597916897317	0.25019760314717643
step4	never mind	VP Conjunction	0.4467005076142132	-0.02208400485344811	-0.0035215298200285813
step4	never mind	VP Gap Conjunction	0.6373378454596729	0.09541435747313355	0.07084525162664024
step4	never mind	Avg_Test	0.35946606504982137	-0.03319014577763402	0.037021021978324846
step4	never mind	Avg_Control	0.5420191765369431	0.036665176309842715	0.03366186090330582
step8	let alone	NPI	0.7580372250423012	-0.4730651697329862	-0.5414982487505865
step8	let alone	Pseudocleft	0.16187253243090807	-0.3614840935127787	-0.20392400103642724
