revision	construction	test_type	accuracy	delta_surps	delta_surps_and	delta_accuracy	delta_accuracy_zscale
step1	let alone	NPI	0.640721940214326	-0.1949999944274867	-0.225303974248431	0.0	0.0
step1	let alone	Pseudocleft	0.2222222222222222	0.0496255392686701	0.1739734255924644	0.0	0.0
step1	let alone	CP Conjunction	0.2137619853355894	0.0910552197503156	0.1652983376620788	0.0	0.0
step1	let alone	VP Conjunction	0.6040609137055838	-0.0141211217631744	-0.0300439892686563	0.0	0.0
step1	let alone	VP Gap Conjunction	0.5386350817822899	0.0457501344202066	0.0418158986779571	0.0	0.0
step1	let alone	Avg_Test	0.3589020492573792	-0.0181064118028336	0.0379892630020373	0.0	0.0
step1	let alone	Avg_Control	0.5713479977439369	0.0158145063285161	0.0058859547046504	0.0	0.0
step1	much less	NPI	0.6615905245346869	-0.1806080313100024	-0.225303974248431	0.0	0.0
step1	much less	Pseudocleft	0.1590524534686971	0.0468084461192795	0.1739734255924644	0.0	0.0
step1	much less	CP Conjunction	0.5470953186689227	0.1751921541329097	0.1652983376620788	0.0	0.0
step1	much less	VP Conjunction	0.7783417935702199	0.052111637504909	-0.0300439892686563	0.0	0.0
step1	much less	VP Gap Conjunction	0.9216018048505358	0.1608911316339673	0.0418158986779571	0.0	0.0
step1	much less	Avg_Test	0.4559127655574356	0.0137975229807289	0.0379892630020373	0.0	0.0
step1	much less	Avg_Control	0.8499717992103779	0.1065013845694382	0.0058859547046504	0.0	0.0
step1	not to mention	NPI	0.730400451212634	-0.1731658285778925	-0.225303974248431	0.0	0.0
step1	not to mention	Pseudocleft	0.5273547659334461	0.200906621757632	0.1739734255924644	0.0	0.0
step1	not to mention	CP Conjunction	0.1669486745628877	0.0735302702962377	0.1652983376620788	0.0	0.0
step1	not to mention	VP Conjunction	0.4331641285956006	-0.0428526249566592	-0.0300439892686563	0.0	0.0
step1	not to mention	VP Gap Conjunction	0.3970671178793006	0.0192763322635485	0.0418158986779571	0.0	0.0
step1	not to mention	Avg_Test	0.4749012972363227	0.0337570211586591	0.0379892630020373	0.0	0.0
step1	not to mention	Avg_Control	0.4151156232374506	-0.0117881463465553	0.0058859547046504	0.0	0.0
step1	never mind	NPI	0.6756909193457417	-0.1939208944571333	-0.225303974248431	0.0	0.0
step1	never mind	Pseudocleft	0.2278623801466441	0.0346017074800116	0.1739734255924644	0.0	0.0
step1	never mind	CP Conjunction	0.1900733220530175	0.0759904030952088	0.1652983376620788	0.0	0.0
step1	never mind	VP Conjunction	0.4709531866892273	-0.0421262037532179	-0.0300439892686563	0.0	0.0
step1	never mind	VP Gap Conjunction	0.6728708403835307	0.0735429773475918	0.0418158986779571	0.0	0.0
step1	never mind	Avg_Test	0.3645422071818011	-0.0277762612939709	0.0379892630020373	0.0	0.0
step1	never mind	Avg_Control	0.571912013536379	0.0157083867971869	0.0058859547046504	0.0	0.0
step2	let alone	NPI	0.640721940214326	-0.1961226578963656	-0.2268918753342648	0.0	-0.1348642181817545
step2	let alone	Pseudocleft	0.2205301748448956	0.0467956729077782	0.1713653904397946	-0.0016920473773266165	-0.14405800019589635
step2	let alone	CP Conjunction	0.2120699379582628	0.0940618757063967	0.1694135751955534	-0.0016920473773266165	-0.14405800019589635
step2	let alone	VP Conjunction	0.6023688663282571	-0.0132108135406269	-0.0287685162995538	-0.0016920473773266442	-0.1440580001958965
step2	let alone	VP Gap Conjunction	0.5375070501974055	0.0468013110432461	0.0432383515239097	-0.0011280315848843925	-0.1409934061911823
step2	let alone	Avg_Test	0.3577740176724948	-0.0184217030940635	0.0379623634336944	-0.0011280315848843925	-0.1409934061911823
step2	let alone	Avg_Control	0.5699379582628313	0.0167952487513095	0.0072349176121779	-0.0014100394811055184	-0.1425257031935394
step2	much less	NPI	0.6638465877044557	-0.1816691346445529	-0.2268918753342648	0.002256063169768785	-0.1226058421628989
step2	much less	Pseudocleft	0.1584884376762549	0.0440566621792229	0.1713653904397946	-0.0005640157924421962	-0.1379288121864684
step2	much less	CP Conjunction	0.5454032712915962	0.1781537760063813	0.1694135751955534	-0.0016920473773265332	-0.1440580001958959
step2	much less	VP Conjunction	0.7772137619853355	0.0530193321326999	-0.0287685162995538	-0.0011280315848843925	-0.1409934061911823
step2	much less	VP Gap Conjunction	0.9210377890580936	0.1619816552563972	0.0432383515239097	-0.0005640157924421407	-0.1379288121864681
step2	much less	Avg_Test	0.4559127655574356	0.0135137678470171	0.0379623634336944	0.0	-0.1348642181817545
step2	much less	Avg_Control	0.8491257755217145	0.1075004936945485	0.0072349176121779	-0.0008460236886633776	-0.13946110918882582
step2	not to mention	NPI	0.7326565143824028	-0.1742955276136403	-0.2268918753342648	0.002256063169768785	-0.1226058421628989
step2	not to mention	Pseudocleft	0.5284827975183305	0.1983426530281837	0.1713653904397946	0.0011280315848843925	-0.1287350301723267
step2	not to mention	CP Conjunction	0.1630005640157924	0.0766136413634462	0.1694135751955534	-0.00394811054709529	-0.15631637621475136
step2	not to mention	VP Conjunction	0.4303440496333897	-0.0418821222958293	-0.0287685162995538	-0.0028200789622109257	-0.1501871882053237
step2	not to mention	VP Gap Conjunction	0.3970671178793006	0.0203710352708845	0.0432383515239097	0.0	-0.1348642181817545
step2	not to mention	Avg_Test	0.4747132919721752	0.0335535889259965	0.0379623634336944	-0.00018800526414747276	-0.13588574951665952
step2	not to mention	Avg_Control	0.4137055837563451	-0.0107555435124723	0.0072349176121779	-0.0014100394811055184	-0.1425257031935394
step2	never mind	NPI	0.676818950930626	-0.195026255702811	-0.2268918753342648	0.0011280315848843925	-0.1287350301723267
step2	never mind	Pseudocleft	0.2284263959390862	0.031980879751895	0.1713653904397946	0.000564015792442113	-0.13179962417704105
step2	never mind	CP Conjunction	0.1872532430908065	0.0789561177537189	0.1694135751955534	-0.002820078962211009	-0.15018718820532415
step2	never mind	VP Conjunction	0.4686971235194585	-0.0411562545784973	-0.0287685162995538	-0.002256063169768785	-0.1471225942006101
step2	never mind	VP Gap Conjunction	0.6711787930062042	0.0746290434973427	0.0432383515239097	-0.0016920473773265332	-0.1440580001958959
step2	never mind	Avg_Test	0.3641661966535063	-0.028029752732399	0.0379623634336944	-0.000376010528294779	-0.13690728085156367
step2	never mind	Avg_Control	0.5699379582628313	0.0167363944594226	0.0072349176121779	-0.001974055273547659	-0.145590297198253
step4	let alone	NPI	0.6711787930062042	-0.2187669606647178	-0.2589991295734369	0.030456852791878153	0.03062385807279375
step4	let alone	Pseudocleft	0.2109419063733784	-0.0084251311291964	0.119864592361235	-0.009588268471517197	-0.18696231626189005
step4	let alone	CP Conjunction	0.1539763113367174	0.1529999742115277	0.2501976031471764	-0.05809362662154538	-0.4505174006672818
step4	let alone	VP Conjunction	0.5707839819514946	0.0046341417875252	-0.0035215298200285	-0.031584884376762545	-0.30648148244573054
step4	let alone	VP Gap Conjunction	0.5008460236886633	0.0671623249344415	0.0708452516266402	-0.036661026508742256	-0.33406282848815533
step4	let alone	Avg_Test	0.3453656702387667	-0.0247307058607955	0.0370210219783248	-0.012408347433728095	-0.2022852862854591
step4	let alone	Avg_Control	0.535815002820079	0.0358982333609834	0.0336618609033058	-0.034122955442752345	-0.32027215546694265
