revision	construction	world_knowledge_filter	accuracy
main	letalone	all	0.6144952058657642
main	letalone	aligned	0.730400451212634
main	letalone	misaligned	0.49858996051889454
main	letalone	aligned1	0.7428087986463621
main	letalone	misaligned1	0.59278059785674
main	letalone	aligned2	0.7179921037789058
main	letalone	misaligned2	0.40439932318104904
main	letalone	verb_hold_all	0.6527777777777778
main	letalone	verb_hold_aligned	1.0
main	letalone	verb_hold_misaligned	0.3055555555555556
main	letalone	verb_bake_all	0.6583333333333333
main	letalone	verb_bake_aligned	0.9055555555555556
main	letalone	verb_bake_misaligned	0.4111111111111111
main	letalone	verb_cook_all	0.5416666666666666
main	letalone	verb_cook_aligned	0.59375
main	letalone	verb_cook_misaligned	0.4895833333333333
main	letalone	verb_paint_all	0.625
main	letalone	verb_paint_aligned	0.7335858585858586
main	letalone	verb_paint_misaligned	0.5164141414141414
main	letalone	verb_draw_all	0.5946969696969697
main	letalone	verb_draw_aligned	0.6944444444444444
main	letalone	verb_draw_misaligned	0.494949494949495
main	letalone	verb_sing_all	0.49747474747474746
main	letalone	verb_sing_aligned	0.5984848484848485
main	letalone	verb_sing_misaligned	0.39646464646464646
main	letalone	verb_write_all	0.5121527777777778
main	letalone	verb_write_aligned	0.375
main	letalone	verb_write_misaligned	0.6493055555555556
main	letalone	verb_make_all	0.625
main	letalone	verb_make_aligned	0.7777777777777778
main	letalone	verb_make_misaligned	0.4722222222222222
main	letalone	verb_pick up_all	0.8111111111111111
main	letalone	verb_pick up_aligned	1.0
main	letalone	verb_pick up_misaligned	0.6222222222222222
main	letalone	verb_lift_all	0.8166666666666667
main	letalone	verb_lift_aligned	0.9888888888888889
main	letalone	verb_lift_misaligned	0.6444444444444445
main	letalone	verb_see_all	0.8888888888888888
main	letalone	verb_see_aligned	0.9444444444444444
main	letalone	verb_see_misaligned	0.8333333333333334
main	letalone	verb_compose_all	0.6180555555555556
main	letalone	verb_compose_aligned	0.7638888888888888
main	letalone	verb_compose_misaligned	0.4722222222222222
main	muchless	all	0.6325437112239143
main	muchless	aligned	0.7081218274111675
main	muchless	misaligned	0.556965595036661
main	muchless	aligned1	0.6830231246474902
main	muchless	misaligned1	0.6869712351945855
main	muchless	aligned2	0.7332205301748449
main	muchless	misaligned2	0.4269599548787366
main	muchless	verb_hold_all	0.7416666666666667
main	muchless	verb_hold_aligned	1.0
main	muchless	verb_hold_misaligned	0.48333333333333334
main	muchless	verb_bake_all	0.65
main	muchless	verb_bake_aligned	0.8666666666666667
main	muchless	verb_bake_misaligned	0.43333333333333335
main	muchless	verb_cook_all	0.5590277777777778
main	muchless	verb_cook_aligned	0.6006944444444444
main	muchless	verb_cook_misaligned	0.5173611111111112
main	muchless	verb_paint_all	0.6736111111111112
main	muchless	verb_paint_aligned	0.7853535353535354
main	muchless	verb_paint_misaligned	0.5618686868686869
main	muchless	verb_draw_all	0.5795454545454546
main	muchless	verb_draw_aligned	0.5909090909090909
main	muchless	verb_draw_misaligned	0.5681818181818182
main	muchless	verb_sing_all	0.5593434343434344
main	muchless	verb_sing_aligned	0.6439393939393939
main	muchless	verb_sing_misaligned	0.47474747474747475
main	muchless	verb_write_all	0.5
main	muchless	verb_write_aligned	0.2604166666666667
main	muchless	verb_write_misaligned	0.7395833333333334
main	muchless	verb_make_all	0.5875
main	muchless	verb_make_aligned	0.6416666666666667
main	muchless	verb_make_misaligned	0.5333333333333333
main	muchless	verb_pick up_all	0.8305555555555556
main	muchless	verb_pick up_aligned	1.0
main	muchless	verb_pick up_misaligned	0.6611111111111111
main	muchless	verb_lift_all	0.8444444444444444
main	muchless	verb_lift_aligned	0.9944444444444445
main	muchless	verb_lift_misaligned	0.6944444444444444
main	muchless	verb_see_all	0.8611111111111112
main	muchless	verb_see_aligned	1.0
main	muchless	verb_see_misaligned	0.7222222222222222
main	muchless	verb_compose_all	0.6059027777777778
main	muchless	verb_compose_aligned	0.7222222222222222
main	muchless	verb_compose_misaligned	0.4895833333333333
main	nottomention	all	0.6307106598984772
main	nottomention	aligned	0.6074450084602369
main	nottomention	misaligned	0.6539763113367174
main	nottomention	aligned1	0.7016356457980824
main	nottomention	misaligned1	0.5848843767625493
main	nottomention	aligned2	0.5132543711223915
main	nottomention	misaligned2	0.7230682459108855
main	nottomention	verb_hold_all	0.9222222222222223
main	nottomention	verb_hold_aligned	0.9944444444444445
main	nottomention	verb_hold_misaligned	0.85
main	nottomention	verb_bake_all	0.6416666666666667
main	nottomention	verb_bake_aligned	0.6833333333333333
main	nottomention	verb_bake_misaligned	0.6
main	nottomention	verb_cook_all	0.4756944444444444
main	nottomention	verb_cook_aligned	0.4618055555555556
main	nottomention	verb_cook_misaligned	0.4895833333333333
main	nottomention	verb_paint_all	0.634469696969697
main	nottomention	verb_paint_aligned	0.6136363636363636
main	nottomention	verb_paint_misaligned	0.6553030303030303
main	nottomention	verb_draw_all	0.5517676767676768
main	nottomention	verb_draw_aligned	0.5176767676767676
main	nottomention	verb_draw_misaligned	0.5858585858585859
main	nottomention	verb_sing_all	0.5568181818181818
main	nottomention	verb_sing_aligned	0.648989898989899
main	nottomention	verb_sing_misaligned	0.46464646464646464
main	nottomention	verb_write_all	0.4913194444444444
main	nottomention	verb_write_aligned	0.2604166666666667
main	nottomention	verb_write_misaligned	0.7222222222222222
main	nottomention	verb_make_all	0.5513888888888889
main	nottomention	verb_make_aligned	0.44722222222222224
main	nottomention	verb_make_misaligned	0.6555555555555556
main	nottomention	verb_pick up_all	0.9472222222222222
main	nottomention	verb_pick up_aligned	0.9944444444444445
main	nottomention	verb_pick up_misaligned	0.9
main	nottomention	verb_lift_all	0.9472222222222222
main	nottomention	verb_lift_aligned	0.9611111111111111
main	nottomention	verb_lift_misaligned	0.9333333333333333
main	nottomention	verb_see_all	0.9166666666666666
main	nottomention	verb_see_aligned	1.0
main	nottomention	verb_see_misaligned	0.8333333333333334
main	nottomention	verb_compose_all	0.6215277777777778
main	nottomention	verb_compose_aligned	0.5729166666666666
main	nottomention	verb_compose_misaligned	0.6701388888888888
main	nevermind	all	0.5936266215454032
main	nevermind	aligned	0.5172024816694868
main	nevermind	misaligned	0.6700507614213198
main	nevermind	aligned1	0.4241398759165257
main	nevermind	misaligned1	0.8150028200789622
main	nevermind	aligned2	0.6102650874224478
main	nevermind	misaligned2	0.5250987027636774
main	nevermind	verb_hold_all	0.85
main	nevermind	verb_hold_aligned	0.9833333333333333
main	nevermind	verb_hold_misaligned	0.7166666666666667
main	nevermind	verb_bake_all	0.6777777777777778
main	nevermind	verb_bake_aligned	0.7333333333333333
main	nevermind	verb_bake_misaligned	0.6222222222222222
main	nevermind	verb_cook_all	0.4895833333333333
main	nevermind	verb_cook_aligned	0.3541666666666667
main	nevermind	verb_cook_misaligned	0.625
main	nevermind	verb_paint_all	0.5915404040404041
main	nevermind	verb_paint_aligned	0.5303030303030303
main	nevermind	verb_paint_misaligned	0.6527777777777778
main	nevermind	verb_draw_all	0.4810606060606061
main	nevermind	verb_draw_aligned	0.29797979797979796
main	nevermind	verb_draw_misaligned	0.6641414141414141
main	nevermind	verb_sing_all	0.4734848484848485
main	nevermind	verb_sing_aligned	0.4722222222222222
main	nevermind	verb_sing_misaligned	0.47474747474747475
main	nevermind	verb_write_all	0.4809027777777778
main	nevermind	verb_write_aligned	0.1388888888888889
main	nevermind	verb_write_misaligned	0.8229166666666666
main	nevermind	verb_make_all	0.5569444444444445
main	nevermind	verb_make_aligned	0.4777777777777778
main	nevermind	verb_make_misaligned	0.6361111111111111
main	nevermind	verb_pick up_all	0.9333333333333333
main	nevermind	verb_pick up_aligned	0.9666666666666667
main	nevermind	verb_pick up_misaligned	0.9
main	nevermind	verb_lift_all	0.9305555555555556
main	nevermind	verb_lift_aligned	0.9555555555555556
main	nevermind	verb_lift_misaligned	0.9055555555555556
main	nevermind	verb_see_all	0.8055555555555556
main	nevermind	verb_see_aligned	1.0
main	nevermind	verb_see_misaligned	0.6111111111111112
main	nevermind	verb_compose_all	0.5329861111111112
main	nevermind	verb_compose_aligned	0.4236111111111111
main	nevermind	verb_compose_misaligned	0.6423611111111112
