revision	construction	world_knowledge_filter	accuracy
main	letalone	all	0.7554991539763113
main	letalone	aligned	0.7997743936830232
main	letalone	misaligned	0.7112239142695995
main	letalone	aligned1	0.853355893965031
main	letalone	misaligned1	0.7760857304004513
main	letalone	aligned2	0.7461928934010152
main	letalone	misaligned2	0.6463620981387479
main	letalone	verb_hold_all	0.7222222222222222
main	letalone	verb_hold_aligned	0.8888888888888888
main	letalone	verb_hold_misaligned	0.5555555555555556
main	letalone	verb_bake_all	0.6361111111111111
main	letalone	verb_bake_aligned	0.7166666666666667
main	letalone	verb_bake_misaligned	0.5555555555555556
main	letalone	verb_cook_all	0.6979166666666666
main	letalone	verb_cook_aligned	0.6666666666666666
main	letalone	verb_cook_misaligned	0.7291666666666666
main	letalone	verb_paint_all	0.7670454545454546
main	letalone	verb_paint_aligned	0.7765151515151515
main	letalone	verb_paint_misaligned	0.7575757575757576
main	letalone	verb_draw_all	0.7967171717171717
main	letalone	verb_draw_aligned	0.8055555555555556
main	letalone	verb_draw_misaligned	0.7878787878787878
main	letalone	verb_sing_all	0.7727272727272727
main	letalone	verb_sing_aligned	0.7070707070707071
main	letalone	verb_sing_misaligned	0.8383838383838383
main	letalone	verb_write_all	0.8263888888888888
main	letalone	verb_write_aligned	0.9722222222222222
main	letalone	verb_write_misaligned	0.6805555555555556
main	letalone	verb_make_all	0.7166666666666667
main	letalone	verb_make_aligned	0.75
main	letalone	verb_make_misaligned	0.6833333333333333
main	letalone	verb_pick up_all	0.7361111111111112
main	letalone	verb_pick up_aligned	0.8277777777777777
main	letalone	verb_pick up_misaligned	0.6444444444444445
main	letalone	verb_lift_all	0.7611111111111111
main	letalone	verb_lift_aligned	0.8888888888888888
main	letalone	verb_lift_misaligned	0.6333333333333333
main	letalone	verb_see_all	0.5555555555555556
main	letalone	verb_see_aligned	0.5555555555555556
main	letalone	verb_see_misaligned	0.5555555555555556
main	letalone	verb_compose_all	0.7951388888888888
main	letalone	verb_compose_aligned	0.9444444444444444
main	letalone	verb_compose_misaligned	0.6458333333333334
main	muchless	all	0.7946982515510435
main	muchless	aligned	0.8745064861816131
main	muchless	misaligned	0.7148900169204738
main	muchless	aligned1	0.8544839255499154
main	muchless	misaligned1	0.8364354201917654
main	muchless	aligned2	0.8945290468133108
main	muchless	misaligned2	0.5933446136491822
main	muchless	verb_hold_all	0.8611111111111112
main	muchless	verb_hold_aligned	0.9833333333333333
main	muchless	verb_hold_misaligned	0.7388888888888889
main	muchless	verb_bake_all	0.7361111111111112
main	muchless	verb_bake_aligned	0.8388888888888889
main	muchless	verb_bake_misaligned	0.6333333333333333
main	muchless	verb_cook_all	0.7465277777777778
main	muchless	verb_cook_aligned	0.7534722222222222
main	muchless	verb_cook_misaligned	0.7395833333333334
main	muchless	verb_paint_all	0.7803030303030303
main	muchless	verb_paint_aligned	0.8282828282828283
main	muchless	verb_paint_misaligned	0.7323232323232324
main	muchless	verb_draw_all	0.8118686868686869
main	muchless	verb_draw_aligned	0.9040404040404041
main	muchless	verb_draw_misaligned	0.7196969696969697
main	muchless	verb_sing_all	0.7790404040404041
main	muchless	verb_sing_aligned	0.7878787878787878
main	muchless	verb_sing_misaligned	0.7702020202020202
main	muchless	verb_write_all	0.8020833333333334
main	muchless	verb_write_aligned	0.9756944444444444
main	muchless	verb_write_misaligned	0.6284722222222222
main	muchless	verb_make_all	0.8027777777777778
main	muchless	verb_make_aligned	0.8472222222222222
main	muchless	verb_make_misaligned	0.7583333333333333
main	muchless	verb_pick up_all	0.8333333333333334
main	muchless	verb_pick up_aligned	0.9833333333333333
main	muchless	verb_pick up_misaligned	0.6833333333333333
main	muchless	verb_lift_all	0.825
main	muchless	verb_lift_aligned	0.9777777777777777
main	muchless	verb_lift_misaligned	0.6722222222222223
main	muchless	verb_see_all	0.8333333333333334
main	muchless	verb_see_aligned	0.9444444444444444
main	muchless	verb_see_misaligned	0.7222222222222222
main	muchless	verb_compose_all	0.8125
main	muchless	verb_compose_aligned	0.9513888888888888
main	muchless	verb_compose_misaligned	0.6736111111111112
main	nottomention	all	0.7021996615905245
main	nottomention	aligned	0.6926113931190073
main	nottomention	misaligned	0.7117879300620418
