revision	construction	test_type	accuracy	delta_surps	delta_surps_and
step2999	let alone	NPI	1.0	0.35443993738930707	0.006090060910194254
step2999	let alone	Pseudocleft	1.0	0.5785231091380455	0.16656987060615724
step2999	let alone	CP Conjunction	1.0	-0.15356381935920005	-1.0115928520809374
step2999	let alone	VP Conjunction	0.8939650310208686	-0.007942559822629012	-0.15635166044498794
step2999	let alone	VP Gap Conjunction	0.9994359842075579	0.7831478662162733	0.4348100482308118
step2999	let alone	Avg_Test	1.0	0.2597997423893842	-0.27964430685486197
step2999	let alone	Avg_Control	0.9467005076142132	0.3876026531968222	0.13922919389291194
step2999	much less	NPI	1.0	0.36179242346559753	0.006090060910194254
step2999	much less	Pseudocleft	1.0	0.6878127269131682	0.16656987060615724
step2999	much less	CP Conjunction	1.0	-0.31803946715589976	-1.0115928520809374
step2999	much less	VP Conjunction	0.6903553299492385	-0.08774134309965544	-0.15635166044498794
step2999	much less	VP Gap Conjunction	0.9543147208121827	0.6133877496832316	0.4348100482308118
step2999	much less	Avg_Test	1.0	0.2438552277409553	-0.27964430685486197
step2999	much less	Avg_Control	0.8223350253807107	0.2628232032917881	0.13922919389291194
step2999	not to mention	NPI	0.6779469825155104	0.06047738183371712	0.006090060910194254
step2999	not to mention	Pseudocleft	0.8364354201917654	0.2589946359278318	0.16656987060615724
step2999	not to mention	CP Conjunction	1.0	-0.6554939652726399	-1.0115928520809374
step2999	not to mention	VP Conjunction	0.9622109419063734	-0.030710926448565986	-0.15635166044498794
step2999	not to mention	VP Gap Conjunction	0.9689791314156796	0.6262398012196756	0.4348100482308118
step2999	not to mention	Avg_Test	0.838127467569092	-0.11200731583703033	-0.27964430685486197
step2999	not to mention	Avg_Control	0.9655950366610264	0.2977644373855548	0.13922919389291194
step2999	never mind	NPI	0.9689791314156796	0.14236805685078835	0.006090060910194254
step2999	never mind	Pseudocleft	0.9046813310772701	0.37557766508800594	0.16656987060615724
step2999	never mind	CP Conjunction	1.0	-0.35657475845866193	-1.0115928520809374
step2999	never mind	VP Conjunction	0.7580372250423012	-0.06536004372525203	-0.15635166044498794
step2999	never mind	VP Gap Conjunction	0.9943598420755781	0.643294397344444	0.4348100482308118
step2999	never mind	Avg_Test	0.9578868208309833	0.05379032116004412	-0.27964430685486197
step2999	never mind	Avg_Control	0.8761985335589397	0.288967176809596	0.13922919389291194
step5996	let alone	NPI	1.0	0.39130115119064857	-0.004667207338147023
step5996	let alone	Pseudocleft	0.9943598420755781	0.5639429747285106	0.17826348956668034
step5996	let alone	CP Conjunction	1.0	-0.24164510808687592	-1.0555869181547473
step5996	let alone	VP Conjunction	0.9644670050761421	-0.050887906342929716	-0.22422765771077302
step5996	let alone	VP Gap Conjunction	0.954878736604625	0.6676136054228876	0.4043135228832092
step5996	let alone	Avg_Test	0.9981199473585262	0.23786633927742776	-0.2939968786420713
step5996	let alone	Avg_Control	0.9596728708403836	0.30836284953997894	0.0900429325862181
step5996	much less	NPI	1.0	0.3689593946066403	-0.004667207338147023
step5996	much less	Pseudocleft	1.0	0.5957958117354339	0.17826348956668034
step5996	much less	CP Conjunction	1.0	-0.30824902188085396	-1.0555869181547473
step5996	much less	VP Conjunction	0.9825155104342922	-0.013412468458929776	-0.22422765771077302
step5996	much less	VP Gap Conjunction	0.9655950366610265	0.6431927237212154	0.4043135228832092
step5996	much less	Avg_Test	1.0	0.2188353948204068	-0.2939968786420713
step5996	much less	Avg_Control	0.9740552735476593	0.31489012763114277	0.0900429325862181
step5996	not to mention	NPI	0.9526226734348562	0.13718439493216975	-0.004667207338147023
step5996	not to mention	Pseudocleft	0.952058657642414	0.4143406589086353	0.17826348956668034
step5996	not to mention	CP Conjunction	1.0	-0.5664417196382457	-1.0555869181547473
step5996	not to mention	VP Conjunction	0.9949238578680203	-0.019298660237440875	-0.22422765771077302
step5996	not to mention	VP Gap Conjunction	1.0	0.7673785858616881	0.4043135228832092
step5996	not to mention	Avg_Test	0.96822711035909	-0.004972221932480223	-0.2939968786420713
step5996	not to mention	Avg_Control	0.9974619289340101	0.37403996281212354	0.0900429325862181
step5996	never mind	NPI	0.9988719684151156	0.20786116328941384	-0.004667207338147023
step5996	never mind	Pseudocleft	0.9785673998871969	0.4440946713451336	0.17826348956668034
step5996	never mind	CP Conjunction	1.0	-0.37754351287256577	-1.0555869181547473
step5996	never mind	VP Conjunction	0.9210377890580936	-0.061190422819754	-0.22422765771077302
step5996	never mind	VP Gap Conjunction	0.9768753525098702	0.6674429244801477	0.4043135228832092
step5996	never mind	Avg_Test	0.9924797894341042	0.09147077392066057	-0.2939968786420713
step5996	never mind	Avg_Control	0.948956570783982	0.3031262508301969	0.0900429325862181
step8994	let alone	NPI	1.0	0.32589192748136997	-0.056567559723657734
step8994	let alone	Pseudocleft	0.9983079526226735	0.47930823862384553	0.18404831135938615
step8994	let alone	CP Conjunction	1.0	-0.22158263016069804	-1.0698719656675868
step8994	let alone	VP Conjunction	0.9514946418499718	-0.021208155713240036	-0.17323075857662712
step8994	let alone	VP Gap Conjunction	1.0	0.6245140648802592	0.3356653346359158
step8994	let alone	Avg_Test	0.9994359842075579	0.1945391786481725	-0.31413040467728615
step8994	let alone	Avg_Control	0.9757473209249858	0.3016529545835096	0.08121728802964436
step8994	much less	NPI	1.0	0.3443240059746636	-0.056567559723657734
step8994	much less	Pseudocleft	1.0	0.6569032578971248	0.18404831135938615
step8994	much less	CP Conjunction	1.0	-0.20835582092530433	-1.0698719656675868
step8994	much less	VP Conjunction	0.9328821206993796	-0.029912025055775057	-0.17323075857662712
step8994	much less	VP Gap Conjunction	1.0	0.623458516577577	0.3356653346359158
step8994	much less	Avg_Test	1.0	0.26429048098216135	-0.31413040467728615
step8994	much less	Avg_Control	0.9664410603496898	0.29677324576090097	0.08121728802964436
step8994	not to mention	NPI	0.8200789622109419	0.04459102706457356	-0.056567559723657734
step8994	not to mention	Pseudocleft	0.8448956570783982	0.27502188854680115	0.18404831135938615
step8994	not to mention	CP Conjunction	1.0	-0.594964241080545	-1.0698719656675868
step8994	not to mention	VP Conjunction	0.8781725888324873	-0.07452879863745468	-0.17323075857662712
step8994	not to mention	VP Gap Conjunction	1.0	0.6830838014362763	0.3356653346359158
step8994	not to mention	Avg_Test	0.8883248730964467	-0.09178377515639011	-0.31413040467728615
step8994	not to mention	Avg_Control	0.9390862944162437	0.30427750139941084	0.08121728802964436
step8994	never mind	NPI	0.9932318104906938	0.13191294804576825	-0.056567559723657734
step8994	never mind	Pseudocleft	0.954878736604625	0.4021616791576164	0.18404831135938615
step8994	never mind	CP Conjunction	1.0	-0.2676679170945238	-1.0698719656675868
step8994	never mind	VP Conjunction	0.9413423575860124	-0.024566201389138467	-0.17323075857662712
step8994	never mind	VP Gap Conjunction	1.0	0.7586442490990257	0.3356653346359158
step8994	never mind	Avg_Test	0.9827035156984395	0.0888022367029536	-0.31413040467728615
step8994	never mind	Avg_Control	0.9706711787930062	0.36703902385494364	0.08121728802964436
step11992	let alone	NPI	1.0	0.367199483861778	-0.027640113303436763
step11992	let alone	Pseudocleft	0.9830795262267343	0.42505201093907147	0.1464283658633848
step11992	let alone	CP Conjunction	1.0	-0.18559677171895414	-1.0531780029916522
step11992	let alone	VP Conjunction	0.990975747320925	0.03135681865044521	-0.1937303340038336
step11992	let alone	VP Gap Conjunction	0.9864636209813875	0.5727938859394157	0.3675224023959896
step11992	let alone	Avg_Test	0.994359842075578	0.20221824102729843	-0.31146325014390136
step11992	let alone	Avg_Control	0.9887196841511563	0.3020753522949305	0.086896034196078
step11992	much less	NPI	1.0	0.36427914134809275	-0.027640113303436763
step11992	much less	Pseudocleft	1.0	0.5789411069307365	0.1464283658633848
step11992	much less	CP Conjunction	1.0	-0.18142191878295658	-1.0531780029916522
step11992	much less	VP Conjunction	0.9785673998871969	0.01592254060442947	-0.1937303340038336
step11992	much less	VP Gap Conjunction	0.9842075578116187	0.5961524073982131	0.3675224023959896
step11992	much less	Avg_Test	1.0	0.2539327764986242	-0.31146325014390136
step11992	much less	Avg_Control	0.9813874788494078	0.3060374740013213	0.086896034196078
step11992	not to mention	NPI	0.7495769881556683	0.032382447909179275	-0.027640113303436763
step11992	not to mention	Pseudocleft	0.8003384094754653	0.23074658375571694	0.1464283658633848
step11992	not to mention	CP Conjunction	1.0	-0.5260798313896063	-1.0531780029916522
step11992	not to mention	VP Conjunction	0.958262831359278	-0.03823967620066447	-0.1937303340038336
step11992	not to mention	VP Gap Conjunction	1.0	0.6654875855357111	0.3675224023959896
step11992	not to mention	Avg_Test	0.8499717992103779	-0.08765026657490337	-0.31146325014390136
step11992	not to mention	Avg_Control	0.979131415679639	0.3136239546675233	0.086896034196078
step11992	never mind	NPI	1.0	0.18419204548934187	-0.027640113303436763
step11992	never mind	Pseudocleft	0.9058093626621545	0.3525763153693667	0.1464283658633848
step11992	never mind	CP Conjunction	1.0	-0.297969285472261	-1.0531780029916522
step11992	never mind	VP Conjunction	0.9328821206993796	-0.03275376326339904	-0.1937303340038336
