revision	construction	world_knowledge_filter	accuracy
step2999	letalone	all	0.504653130287648
step2999	letalone	aligned	0.4994359842075578
step2999	letalone	misaligned	0.5098702763677383
step2999	letalone	aligned1	0.4021432600112803
step2999	letalone	misaligned1	0.41455160744500846
step2999	letalone	aligned2	0.5967287084038353
step2999	letalone	misaligned2	0.6051889452904682
step2999	letalone	verb_hold_all	0.4861111111111111
step2999	letalone	verb_hold_aligned	0.4722222222222222
step2999	letalone	verb_hold_misaligned	0.5
step2999	letalone	verb_bake_all	0.5416666666666666
step2999	letalone	verb_bake_aligned	0.5166666666666667
step2999	letalone	verb_bake_misaligned	0.5666666666666667
step2999	letalone	verb_cook_all	0.59375
step2999	letalone	verb_cook_aligned	0.5972222222222222
step2999	letalone	verb_cook_misaligned	0.5902777777777778
step2999	letalone	verb_paint_all	0.49747474747474746
step2999	letalone	verb_paint_aligned	0.5340909090909091
step2999	letalone	verb_paint_misaligned	0.46085858585858586
step2999	letalone	verb_draw_all	0.5189393939393939
step2999	letalone	verb_draw_aligned	0.5252525252525253
step2999	letalone	verb_draw_misaligned	0.5126262626262627
step2999	letalone	verb_sing_all	0.4494949494949495
step2999	letalone	verb_sing_aligned	0.3712121212121212
step2999	letalone	verb_sing_misaligned	0.5277777777777778
step2999	letalone	verb_write_all	0.46875
step2999	letalone	verb_write_aligned	0.4861111111111111
step2999	letalone	verb_write_misaligned	0.4513888888888889
step2999	letalone	verb_make_all	0.5166666666666667
step2999	letalone	verb_make_aligned	0.4527777777777778
step2999	letalone	verb_make_misaligned	0.5805555555555556
step2999	letalone	verb_pick up_all	0.5166666666666667
step2999	letalone	verb_pick up_aligned	0.5
step2999	letalone	verb_pick up_misaligned	0.5333333333333333
step2999	letalone	verb_lift_all	0.4888888888888889
step2999	letalone	verb_lift_aligned	0.4722222222222222
step2999	letalone	verb_lift_misaligned	0.5055555555555555
step2999	letalone	verb_see_all	0.5
step2999	letalone	verb_see_aligned	0.5555555555555556
step2999	letalone	verb_see_misaligned	0.4444444444444444
step2999	letalone	verb_compose_all	0.5034722222222222
step2999	letalone	verb_compose_aligned	0.5381944444444444
step2999	letalone	verb_compose_misaligned	0.46875
step2999	muchless	all	0.47532430908065426
step2999	muchless	aligned	0.5547095318668923
step2999	muchless	misaligned	0.39593908629441626
step2999	muchless	aligned1	0.25324309080654256
step2999	muchless	misaligned1	0.6672306824591089
step2999	muchless	aligned2	0.856175972927242
step2999	muchless	misaligned2	0.12464749012972363
step2999	muchless	verb_hold_all	0.48055555555555557
step2999	muchless	verb_hold_aligned	0.5055555555555555
step2999	muchless	verb_hold_misaligned	0.45555555555555555
step2999	muchless	verb_bake_all	0.5
step2999	muchless	verb_bake_aligned	0.5
step2999	muchless	verb_bake_misaligned	0.5
step2999	muchless	verb_cook_all	0.4461805555555556
step2999	muchless	verb_cook_aligned	0.5902777777777778
step2999	muchless	verb_cook_misaligned	0.3020833333333333
step2999	muchless	verb_paint_all	0.47664141414141414
step2999	muchless	verb_paint_aligned	0.5416666666666666
step2999	muchless	verb_paint_misaligned	0.4116161616161616
