revision	construction	world_knowledge_filter	accuracy
step2999	letalone	all	0.5086012408347433
step2999	letalone	aligned	0.5620417371686407
step2999	letalone	misaligned	0.45516074450084604
step2999	letalone	aligned1	0.1697687535250987
step2999	letalone	misaligned1	0.8855047941342358
step2999	letalone	aligned2	0.9543147208121827
step2999	letalone	misaligned2	0.024816694867456288
step2999	letalone	verb_hold_all	0.5
step2999	letalone	verb_hold_aligned	0.5
step2999	letalone	verb_hold_misaligned	0.5
step2999	letalone	verb_bake_all	0.5
step2999	letalone	verb_bake_aligned	0.5
step2999	letalone	verb_bake_misaligned	0.5
step2999	letalone	verb_cook_all	0.5173611111111112
step2999	letalone	verb_cook_aligned	0.5347222222222222
step2999	letalone	verb_cook_misaligned	0.5
step2999	letalone	verb_paint_all	0.5315656565656566
step2999	letalone	verb_paint_aligned	0.63510101010101
step2999	letalone	verb_paint_misaligned	0.42803030303030304
step2999	letalone	verb_draw_all	0.4936868686868687
step2999	letalone	verb_draw_aligned	0.5227272727272727
step2999	letalone	verb_draw_misaligned	0.46464646464646464
step2999	letalone	verb_sing_all	0.5050505050505051
step2999	letalone	verb_sing_aligned	0.5707070707070707
step2999	letalone	verb_sing_misaligned	0.4393939393939394
step2999	letalone	verb_write_all	0.4965277777777778
step2999	letalone	verb_write_aligned	0.6493055555555556
step2999	letalone	verb_write_misaligned	0.34375
step2999	letalone	verb_make_all	0.49722222222222223
step2999	letalone	verb_make_aligned	0.49444444444444446
step2999	letalone	verb_make_misaligned	0.5
step2999	letalone	verb_pick up_all	0.4777777777777778
step2999	letalone	verb_pick up_aligned	0.46111111111111114
step2999	letalone	verb_pick up_misaligned	0.49444444444444446
step2999	letalone	verb_lift_all	0.5
step2999	letalone	verb_lift_aligned	0.5
step2999	letalone	verb_lift_misaligned	0.5
step2999	letalone	verb_see_all	0.4722222222222222
step2999	letalone	verb_see_aligned	0.4444444444444444
step2999	letalone	verb_see_misaligned	0.5
step2999	letalone	verb_compose_all	0.5260416666666666
step2999	letalone	verb_compose_aligned	0.6145833333333334
step2999	letalone	verb_compose_misaligned	0.4375
step2999	muchless	all	0.4811054709531867
step2999	muchless	aligned	0.5056401579244219
step2999	muchless	misaligned	0.4565707839819515
step2999	muchless	aligned1	0.8855047941342358
step2999	muchless	misaligned1	0.11223914269599548
step2999	muchless	aligned2	0.125775521714608
step2999	muchless	misaligned2	0.8009024252679074
step2999	muchless	verb_hold_all	0.4027777777777778
step2999	muchless	verb_hold_aligned	0.39444444444444443
step2999	muchless	verb_hold_misaligned	0.4111111111111111
step2999	muchless	verb_bake_all	0.4388888888888889
step2999	muchless	verb_bake_aligned	0.45
step2999	muchless	verb_bake_misaligned	0.42777777777777776
step2999	muchless	verb_cook_all	0.4583333333333333
step2999	muchless	verb_cook_aligned	0.5069444444444444
step2999	muchless	verb_cook_misaligned	0.4097222222222222
step2999	muchless	verb_paint_all	0.4722222222222222
step2999	muchless	verb_paint_aligned	0.48863636363636365
step2999	muchless	verb_paint_misaligned	0.45580808080808083
step2999	muchless	verb_draw_all	0.5189393939393939
step2999	muchless	verb_draw_aligned	0.6035353535353535
step2999	muchless	verb_draw_misaligned	0.43434343434343436
step2999	muchless	verb_sing_all	0.4962121212121212
step2999	muchless	verb_sing_aligned	0.49747474747474746
step2999	muchless	verb_sing_misaligned	0.494949494949495
step2999	muchless	verb_write_all	0.53125
step2999	muchless	verb_write_aligned	0.5729166666666666
step2999	muchless	verb_write_misaligned	0.4895833333333333
step2999	muchless	verb_make_all	0.4847222222222222
step2999	muchless	verb_make_aligned	0.4722222222222222
step2999	muchless	verb_make_misaligned	0.49722222222222223
step2999	muchless	verb_pick up_all	0.45
step2999	muchless	verb_pick up_aligned	0.4722222222222222
step2999	muchless	verb_pick up_misaligned	0.42777777777777776
step2999	muchless	verb_lift_all	0.4666666666666667
step2999	muchless	verb_lift_aligned	0.48333333333333334
step2999	muchless	verb_lift_misaligned	0.45
step2999	muchless	verb_see_all	0.5
step2999	muchless	verb_see_aligned	0.5
step2999	muchless	verb_see_misaligned	0.5
step2999	muchless	verb_compose_all	0.5034722222222222
step2999	muchless	verb_compose_aligned	0.5416666666666666
step2999	muchless	verb_compose_misaligned	0.4652777777777778
step2999	nottomention	all	0.4427523970671179
step2999	nottomention	aligned	0.44247038917089676
step2999	nottomention	misaligned	0.44303440496333896
step2999	nottomention	aligned1	0.775521714608009
step2999	nottomention	misaligned1	0.3197969543147208
step2999	nottomention	aligned2	0.10941906373378454
step2999	nottomention	misaligned2	0.5662718556119571
step2999	nottomention	verb_hold_all	0.44722222222222224
step2999	nottomention	verb_hold_aligned	0.28888888888888886
step2999	nottomention	verb_hold_misaligned	0.6055555555555555
step2999	nottomention	verb_bake_all	0.4583333333333333
step2999	nottomention	verb_bake_aligned	0.4166666666666667
step2999	nottomention	verb_bake_misaligned	0.5
step2999	nottomention	verb_cook_all	0.4392361111111111
step2999	nottomention	verb_cook_aligned	0.5
step2999	nottomention	verb_cook_misaligned	0.3784722222222222
step2999	nottomention	verb_paint_all	0.4273989898989899
step2999	nottomention	verb_paint_aligned	0.476010101010101
step2999	nottomention	verb_paint_misaligned	0.3787878787878788
step2999	nottomention	verb_draw_all	0.4305555555555556
step2999	nottomention	verb_draw_aligned	0.4797979797979798
step2999	nottomention	verb_draw_misaligned	0.3813131313131313
step2999	nottomention	verb_sing_all	0.4318181818181818
step2999	nottomention	verb_sing_aligned	0.5126262626262627
step2999	nottomention	verb_sing_misaligned	0.351010101010101
step2999	nottomention	verb_write_all	0.4756944444444444
step2999	nottomention	verb_write_aligned	0.4826388888888889
step2999	nottomention	verb_write_misaligned	0.46875
step2999	nottomention	verb_make_all	0.4708333333333333
step2999	nottomention	verb_make_aligned	0.33611111111111114
step2999	nottomention	verb_make_misaligned	0.6055555555555555
step2999	nottomention	verb_pick up_all	0.4361111111111111
step2999	nottomention	verb_pick up_aligned	0.3055555555555556
step2999	nottomention	verb_pick up_misaligned	0.5666666666666667
step2999	nottomention	verb_lift_all	0.4583333333333333
step2999	nottomention	verb_lift_aligned	0.3388888888888889
step2999	nottomention	verb_lift_misaligned	0.5777777777777777
step2999	nottomention	verb_see_all	0.4166666666666667
step2999	nottomention	verb_see_aligned	0.3333333333333333
step2999	nottomention	verb_see_misaligned	0.5
step2999	nottomention	verb_compose_all	0.4357638888888889
step2999	nottomention	verb_compose_aligned	0.5069444444444444
