revision	construction	test_type	accuracy	delta_surps	delta_surps_and
step2999	let alone	NPI	0.8776085730400451	0.10626589167743367	-0.0650109763005596
step2999	let alone	Pseudocleft	0.9481105470953187	0.11390625477442282	-0.05890802680202212
step2999	let alone	CP Conjunction	1.0	-0.5285937581537002	-1.1137846933706157
step2999	let alone	VP Conjunction	0.6238014664410604	-0.028720029047230707	-0.07375532052507525
step2999	let alone	VP Gap Conjunction	0.9357021996615905	0.9382861891810799	0.6708579999003381
step2999	let alone	Avg_Test	0.9419063733784546	-0.1028072039006146	-0.41256789882439915
step2999	let alone	Avg_Control	0.7797518330513254	0.4547830800669246	0.2985513396876314
step2999	much less	NPI	0.9075014100394811	0.08020501846454942	-0.0650109763005596
step2999	much less	Pseudocleft	1.0	0.32214000041176893	-0.05890802680202212
step2999	much less	CP Conjunction	1.0	-0.46174114360959934	-1.1137846933706157
step2999	much less	VP Conjunction	0.6080090242526791	-0.041358445131772	-0.07375532052507525
step2999	much less	VP Gap Conjunction	0.7078398195149465	0.788627416836765	0.6708579999003381
step2999	much less	Avg_Test	0.9691671366798271	-0.019798708244427005	-0.41256789882439915
step2999	much less	Avg_Control	0.6579244218838127	0.3736344858524965	0.2985513396876314
step2999	not to mention	NPI	0.9571347997743936	0.05347643262305908	-0.0650109763005596
step2999	not to mention	Pseudocleft	0.990975747320925	0.2435748025111001	-0.05890802680202212
step2999	not to mention	CP Conjunction	1.0	-0.6357093016541885	-1.1137846933706157
step2999	not to mention	VP Conjunction	0.5668358714043993	-0.050011525702758894	-0.07375532052507525
step2999	not to mention	VP Gap Conjunction	1.0	1.0788862455785442	0.6708579999003381
step2999	not to mention	Avg_Test	0.9827035156984395	-0.1128860221733431	-0.41256789882439915
step2999	not to mention	Avg_Control	0.7834179357021996	0.5144373599378926	0.2985513396876314
step2999	never mind	NPI	0.6570783981951495	-0.01676668121662775	-0.0650109763005596
step2999	never mind	Pseudocleft	0.9441624365482234	0.19018181081014504	-0.05890802680202212
step2999	never mind	CP Conjunction	0.9774393683023125	-0.8180735825282063	-1.1137846933706157
step2999	never mind	VP Conjunction	0.5561195713479977	-0.036577483656980596	-0.07375532052507525
step2999	never mind	VP Gap Conjunction	0.7518330513254371	0.8065570338392285	0.6708579999003381
step2999	never mind	Avg_Test	0.8595600676818952	-0.21488615097822966	-0.41256789882439915
step2999	never mind	Avg_Control	0.6539763113367174	0.3849897750911239	0.2985513396876314
step5996	let alone	NPI	0.9362662154540327	0.1942403358352164	-0.23963073882690877
step5996	let alone	Pseudocleft	0.7614213197969543	0.08052447483624299	-0.09694905272326225
step5996	let alone	CP Conjunction	1.0	-0.5330906790222614	-1.3279023922504978
step5996	let alone	VP Conjunction	0.7089678510998308	-0.022390192602558857	-0.20567510838032577
step5996	let alone	VP Gap Conjunction	0.9063733784545968	0.8024986768871529	0.4947688414495138
step5996	let alone	Avg_Test	0.8992291784169956	-0.08610862278360064	-0.5548273946002229
step5996	let alone	Avg_Control	0.8076706147772138	0.390054242142297	0.144546866534594
step5996	much less	NPI	0.9114495205865765	0.19877724652900847	-0.23963073882690877
step5996	much less	Pseudocleft	0.7851099830795262	0.11115365501049879	-0.09694905272326225
step5996	much less	CP Conjunction	1.0	-0.5693779916697415	-1.3279023922504978
step5996	much less	VP Conjunction	0.5741680767061478	-0.11384547671152923	-0.20567510838032577
step5996	much less	VP Gap Conjunction	0.9289340101522843	0.7374742375345332	0.4947688414495138
step5996	much less	Avg_Test	0.898853167888701	-0.08648236337674473	-0.5548273946002229
step5996	much less	Avg_Control	0.7515510434292161	0.311814380411502	0.144546866534594
step5996	not to mention	NPI	0.9740552735476593	0.0591178673408291	-0.23963073882690877
step5996	not to mention	Pseudocleft	0.9413423575860124	0.20214296579024782	-0.09694905272326225
step5996	not to mention	CP Conjunction	1.0	-0.5782352763753924	-1.3279023922504978
step5996	not to mention	VP Conjunction	0.5617597292724196	-0.1390753145851258	-0.20567510838032577
step5996	not to mention	VP Gap Conjunction	1.0	1.0013210902729077	0.4947688414495138
step5996	not to mention	Avg_Test	0.9717992103778905	-0.10565814774810517	-0.5548273946002229
step5996	not to mention	Avg_Control	0.7808798646362098	0.43112288784389097	0.144546866534594
step5996	never mind	NPI	0.8093626621545403	-0.02583040423939205	-0.23963073882690877
step5996	never mind	Pseudocleft	0.7851099830795262	0.12033417341874537	-0.09694905272326225
step5996	never mind	CP Conjunction	0.9571347997743936	-0.79582933107474	-1.3279023922504978
step5996	never mind	VP Conjunction	0.5595036661026509	-0.10956128250053221	-0.20567510838032577
step5996	never mind	VP Gap Conjunction	1.0	1.1602328368922243	0.4947688414495138
step5996	never mind	Avg_Test	0.85053581500282	-0.2337751872984622	-0.5548273946002229
step5996	never mind	Avg_Control	0.7797518330513254	0.525335777195846	0.144546866534594
step8994	let alone	NPI	0.990975747320925	0.2748604671839463	-0.162186246266556
step8994	let alone	Pseudocleft	0.8815566835871405	0.11398347697887323	-0.10994776311864708
step8994	let alone	CP Conjunction	1.0	-0.5518589701211459	-1.3229735078814335
step8994	let alone	VP Conjunction	0.9261139311900733	0.033932225420457526	-0.3485980522007305
step8994	let alone	VP Gap Conjunction	0.9667230682459109	0.8435380053231089	0.4399599808794055
step8994	let alone	Avg_Test	0.9575108103026885	-0.0543383419861088	-0.5317025057555456
step8994	let alone	Avg_Control	0.9464184997179921	0.43873511537178317	0.04568096433933751
step8994	much less	NPI	0.9334461364918217	0.1750742693910206	-0.162186246266556
step8994	much less	Pseudocleft	0.8793006204173717	0.14031444890850087	-0.10994776311864708
step8994	much less	CP Conjunction	1.0	-0.43745218154339216	-1.3229735078814335
step8994	much less	VP Conjunction	0.8285391990975748	-0.1213634349636889	-0.3485980522007305
step8994	much less	VP Gap Conjunction	0.754653130287648	0.5843800090492881	0.4399599808794055
step8994	much less	Avg_Test	0.9375822523030645	-0.04068782108129023	-0.5317025057555456
step8994	much less	Avg_Control	0.7915961646926114	0.2315082870427996	0.04568096433933751
step8994	not to mention	NPI	0.9390862944162437	0.08812112922192426	-0.162186246266556
step8994	not to mention	Pseudocleft	0.9954878736604625	0.2499135091892421	-0.10994776311864708
step8994	not to mention	CP Conjunction	1.0	-0.5128537714901579	-1.3229735078814335
step8994	not to mention	VP Conjunction	0.9481105470953187	-0.06792251043782285	-0.3485980522007305
step8994	not to mention	VP Gap Conjunction	0.9983079526226735	0.8391605698988388	0.4399599808794055
